CID;Meno/Priezvisko;Priezvisko;Tituly;sex;Datum narodenia;PSC;mesto;kraj;Danovy domicil;Stĺpec2;dom2
2002610;Fayzal;Springenschmid;;male;30.4.1932;19243;Boddin;Mecklenburg-Vorpommern;SK;0;SK
2008825;Yahya;Bloms;;female;30.4.1924;15236;Frankfurt (Oder);Brandenburg;AT;2;AT
2001898;Xiaoxin;Sallmann;;female;30.4.1921;55758;Mackenrodt;Rheinland-Pfalz;DE;1;DE
2000676;Baker;Lytvinov;;male;1928-01-01;1819;Bahretal;Sachsen;AT;2;AT
2000594;Lotta-Malie;Suter;;female;2004-01-01;71292;Friolzheim;Baden-WĂĽrttemberg;DE;1;DE
2009248;Anuk;Alberternst;;male;1937-01-01;6638;Karsdorf;Sachsen-Anhalt;SK;0;SK
2000258;Zinedin;Glowacka;;male;1930-01-01;45259;Essen;Nordrhein-Westfalen;SK;0;SK
2000593;Loni;Brokamp;;male;1981-02-01;22946;GroĂźensee;Schleswig-Holstein;AT;2;AT
2006011;Chidi;Hilperth;;male;1952-02-01;3055;Cottbus;Brandenburg;DE;1;DE
2010063;Maiara;Martschiniak;;female;1932-02-01;89143;Blaubeuren Gerhausen;Baden-WĂĽrttemberg;SK;0;SK
2004845;Suriya;Meiners;;male;2002-02-01;6386;Hinsdorf;Sachsen-Anhalt;SK;0;SK
2007023;Beyzanur;Schewski;;female;1963-02-01;20359;Hamburg;Hamburg;DE;1;DE
2002503;Steffen;Merettich;;male;1943-02-01;38259;Salzgitter Beinum;Niedersachsen;DE;1;DE
2000528;Abdourahamane;Faland;;male;1931-02-01;24975;Ausacker;Schleswig-Holstein;AT;2;AT
2005798;Corinna;GrĂĽnheit;;female;1945-02-01;69126;Heidelberg;Baden-WĂĽrttemberg;AT;2;AT
2007298;Wiggins;Stepput;;male;1943-03-01;24357;GĂĽby;Schleswig-Holstein;SK;0;SK
2008600;YaĂ«l;SĂ¶hnle;;female;1937-03-01;6369;Cosa;Sachsen-Anhalt;SK;0;SK
2009130;Lajan;Maienschein;;female;1930-03-01;70597;Stuttgart Kaltental;Baden-WĂĽrttemberg;SK;0;SK
2004669;Minousha;Ueno;;female;1927-03-01;98744;Meura;ThĂĽringen;SK;0;SK
2006013;Hayal;Roeloffs;;female;1967-03-01;24613;Aukrug;Schleswig-Holstein;SK;0;SK
2008602;Lewis;Stencel;;male;1967-03-01;54675;Sinspelt;Rheinland-Pfalz;AT;2;AT
2005498;Kathryn;Schmidts;;female;1959-03-01;99510;Wiegendorf;ThĂĽringen;SK;0;SK
2001267;Damla;SteinmĂĽller;;female;1998-03-01;88422;Tiefenbach;Baden-WĂĽrttemberg;DE;1;DE
2008313;Flo;Laberenz;;male;1992-03-01;6895;Rahnsdorf;Sachsen-Anhalt;DE;1;DE
2000313;Fallon;Thissen;;male;1981-03-01;17166;Teterow;Mecklenburg-Vorpommern;AT;2;AT
2002318;Djenifa;Fegers;;female;1955-03-01;33100;Paderborn;Nordrhein-Westfalen;DE;1;DE
2001571;Evie;Endroweit;;female;1934-03-01;23883;Hollenbek;Schleswig-Holstein;DE;1;DE
2002271;Jerome-Pascal;Gerdpeter;;male;1921-03-01;6528;Sotterhausen;Sachsen-Anhalt;SK;0;SK
2001244;Abu;Andermann;;male;2002-05-01;95339;Neuenmarkt;Bayern;SK;0;SK
2003056;Ubax;Keilberg;;female;1927-05-01;22885;BarsbĂĽttel;Schleswig-Holstein;SK;0;SK
2001220;Tasneem;Eissfeld;;female;2000-05-01;23816;Bebensee;Schleswig-Holstein;DE;1;DE
2009645;AnÄ‘elija;Jekabsons;;female;1984-05-01;66917;Wallhalben;Rheinland-Pfalz;SK;0;SK
2004841;Barya;HĂ¶felmayr;;female;1928-05-01;99718;NiederbĂ¶sa;ThĂĽringen;AT;2;AT
2006772;Matan-El;ThĂ¶ner;;male;1970-05-01;93466;Chamerau;Bayern;DE;1;DE
2002138;YĂĽliana;Bohnenberger;;female;1943-05-01;12459;Berlin;Berlin;DE;1;DE
2008462;Roderich;Schadschneider;;male;1922-05-01;87675;Rettenbach am Auerberg;Bayern;AT;2;AT
2003535;Clarita;Steckl;;female;2005-06-01;79585;Steinen;Baden-WĂĽrttemberg;DE;1;DE
2009458;Mairbekovich;Wansleven;;male;1973-06-01;54455;Serrig;Rheinland-Pfalz;DE;1;DE
2000776;Jayakodiy;Grossklaus;;female;2002-06-01;55234;Nack;Rheinland-Pfalz;DE;1;DE
2004340;Heliu;Ă–zdag;;female;1980-06-01;17440;Zemitz;Mecklenburg-Vorpommern;SK;0;SK
2006027;Zahara;Yesiltas;;female;1999-11-01;54689;Preischeid;Rheinland-Pfalz;SK;0;SK
2008674;Maede;Krenmayer;;female;1981-11-01;12529;Berlin;Berlin;SK;0;SK
2007029;Skyla-Juli;Knollmayer;;female;1959-11-01;70178;Stuttgart Stuttgart-Mitte;Baden-WĂĽrttemberg;DE;1;DE
2007678;Katheryne;KĂ¶rst;;female;1941-11-01;72336;Balingen;Baden-WĂĽrttemberg;DE;1;DE
2003826;Sigmar;Vorobieva;;male;1933-11-01;80796;MĂĽnchen;Bayern;AT;2;AT
2008826;FatmĂ©;Lehmbruch;;female;2004-09-01;32758;Detmold;Nordrhein-Westfalen;DE;1;DE
2007369;Lorraine;Leistenschneider;;female;1995-09-01;29465;Schnega GĂ¶hr;Niedersachsen;SK;0;SK
2003039;Kordian;Oberdick;;male;1972-09-01;56858;Peterswald-LĂ¶ffelscheid;Rheinland-Pfalz;SK;0;SK
2007250;Takoia;Michelka;;female;1953-09-01;15848;Friedland Karras;Brandenburg;SK;0;SK
2005575;Berkantova;Lukosczyk;;female;1939-09-01;19322;Weisen;Brandenburg;SK;0;SK
2008419;Asinat;Kowalzik;;female;1929-09-01;29481;Karwitz Lebbien;Niedersachsen;DE;1;DE
2002800;Felissa;Wischniewski;;female;1924-09-01;55291;Saulheim;Rheinland-Pfalz;AT;2;AT
2000875;Fjella;Hugg;;female;2006-06-01;26316;Varel Hohelucht;Niedersachsen;AT;2;AT
2006116;Octavia;Hertzog;;female;1970-06-01;16248;Lunow-Stolzenhagen;Brandenburg;SK;0;SK
2005063;MĂ´c;Buerkle;;female;1959-06-01;19395;Retzow;Mecklenburg-Vorpommern;DE;1;DE
2007780;Halil;SchĂ¶nekes;;male;1946-06-01;56370;Rettert;Rheinland-Pfalz;AT;2;AT
2006089;Evelyne;Guenther;;female;1926-06-01;65934;Frankfurt am Main;Hessen;SK;0;SK
2001131;Basima;Weis;;female;2008-04-01;98743;GrĂ¤fenthal;ThĂĽringen;SK;0;SK
2009554;Emeline;Borkhard;;female;1972-04-01;83313;Siegsdorf;Bayern;SK;0;SK
2001584;Puck;Beerlage;;male;1971-04-01;45657;Recklinghausen;Nordrhein-Westfalen;AT;2;AT
2007125;Philine-Sophie;Mahling;;female;1955-04-01;82447;Spatzenhausen;Bayern;DE;1;DE
2004585;Albijon;Theisen;;male;2006-02-01;25557;Beldorf;Schleswig-Holstein;AT;2;AT
2007859;Fjona;Janisz;;female;2003-02-01;53534;Hoffeld;Rheinland-Pfalz;DE;1;DE
2008928;Polka;Griegat;;female;1999-02-01;1994;Schipkau Drochow;Brandenburg;AT;2;AT
2006387;Esat;Szoltysek;;male;1997-02-01;57548;Kirchen;Rheinland-Pfalz;AT;2;AT
2007500;Petrankov;Wohlschlager;;male;1993-02-01;91350;Gremsdorf;Bayern;DE;1;DE
2006173;Katelyn;Rubel;;female;1992-02-01;21423;Drage;Niedersachsen;SK;0;SK
2009366;Ehlin;RĂ¶tger;;female;1989-02-01;92555;Trausnitz;Bayern;AT;2;AT
2002178;Henno;Trompether;;male;1987-02-01;53227;Bonn;Nordrhein-Westfalen;AT;2;AT
2007416;Vivien;Borkhardt;;male;1987-02-01;49448;HĂĽde;Niedersachsen;DE;1;DE
2001746;MikĂ˘il;Tewes;;male;1985-02-01;72184;Eutingen im GĂ¤u;Baden-WĂĽrttemberg;DE;1;DE
2006976;Opeyemi;Falland;;male;1982-02-01;17039;Sponholz;Mecklenburg-Vorpommern;AT;2;AT
2002769;Ben-Jeremy;Breiter;;male;1980-02-01;99735;Wolkramshausen;ThĂĽringen;AT;2;AT
2009873;Domenick-Jaden;Hoberty;;male;1979-02-01;76327;Pfinztal;Baden-WĂĽrttemberg;SK;0;SK
2007820;Jigme;Spaczek;;male;1976-02-01;16833;Fehrbellin Protzen;Brandenburg;AT;2;AT
2000647;Tusman;Fernekes;;female;1969-02-01;23911;Harmsdorf;Schleswig-Holstein;SK;0;SK
2002451;Emmali;Matthees;;female;1964-02-01;55546;Tiefenthal;Rheinland-Pfalz;DE;1;DE
2009220;Eliyan;Klaassens;;male;1961-02-01;2699;Neschwitz;Sachsen;AT;2;AT
2008140;Elamin;Meyerkort;;male;1949-02-01;67304;Eisenberg;Rheinland-Pfalz;SK;0;SK
2005369;Thongsan;Deschli;;female;1949-02-01;36404;WĂ¶lferbĂĽtt;ThĂĽringen;SK;0;SK
2000631;Philemon;Rosshirt;;male;1944-02-01;87745;Eppishausen;Bayern;SK;0;SK
2002755;Leevi;Peham;;male;1943-02-01;69190;Walldorf;Baden-WĂĽrttemberg;DE;1;DE
2005093;Koa;Wingerter;;male;1932-02-01;38486;Neuferchau;Sachsen-Anhalt;AT;2;AT
2005002;Eve-Marleen;Avcilar;;female;1929-02-01;7639;Bad Klosterlausnitz;ThĂĽringen;AT;2;AT
2009306;Finn-Joel;PrĂ¤ndl;;male;1929-02-01;15230;Frankfurt (Oder);Brandenburg;SK;0;SK
2001167;Mickey;Bergjohann;;female;1926-02-01;35117;MĂĽnchhausen;Hessen;SK;0;SK
2007123;Architha;Wuerttemberger;;female;1926-02-01;97342;Seinsheim;Bayern;AT;2;AT
2008612;Duval;Emilius;;male;1922-02-01;17398;LĂ¶witz;Mecklenburg-Vorpommern;DE;1;DE
2001049;Klara-Eileen;Bremmenkamp;;female;1998-05-30;71576;Burgstetten;Baden-WĂĽrttemberg;AT;2;AT
2008465;Amadeo-Maximilian;Blank;;male;1934-05-30;36039;Fulda;Hessen;DE;1;DE
2007213;Joury;Kuffer;;female;2005-01-30;25938;Wyk auf FĂ¶hr;Schleswig-Holstein;AT;2;AT
2004130;Amedeo;FaĂźbinder;;male;1973-01-30;6918;Gentha;Sachsen-Anhalt;SK;0;SK
2001827;David-Dominic;Dinkelmeier;;male;1972-01-30;39291;Pietzpuhl;Sachsen-Anhalt;DE;1;DE
2004825;Juliska;StĂĽmpke;;female;1960-01-30;99510;Pfiffelbach;ThĂĽringen;SK;0;SK
2006719;Hella;Schickl;;female;1932-01-30;69207;Sandhausen;Baden-WĂĽrttemberg;DE;1;DE
2001473;Linda;KlĂ¶Ăźer;;female;1923-01-30;1877;Doberschau-GauĂźig;Sachsen;SK;0;SK
2005125;Ă‡inar;Klopstech;;male;2003-01-30;6386;Scheuder;Sachsen-Anhalt;SK;0;SK
2005032;Ercan;Dickmayer;;male;1955-01-30;53539;BrĂĽcktal;Rheinland-Pfalz;DE;1;DE
2003974;Fuderli;KrĂ¤utle;;male;1944-01-30;93053;Regensburg;Bayern;SK;0;SK
2008208;Lorelin;SiepenkĂ¶tter;;female;1939-01-30;39359;Everingen;Sachsen-Anhalt;DE;1;DE
2009082;Mia-Sophia;Katschinski;;female;1938-01-30;91626;Schopfloch;Bayern;DE;1;DE
2003898;Charmaine;Kothmair;;female;1934-01-30;31552;Apelern Soldorf;Niedersachsen;DE;1;DE
2008485;Rustam;Heineke;;male;1924-01-30;56295;Kerben;Rheinland-Pfalz;AT;2;AT
2007351;Afan;Lenze;;male;28-2-2006;76835;Weyher in der Pfalz;Rheinland-Pfalz;SK;0;SK
2000379;Demi;GrĂĽnvogel;;female;28-2-2000;6917;Jessen (Elster) Gorsdorf-Hemsendorf;Sachsen-Anhalt;DE;1;DE
2004132;Mukteda;Ackermaier;;male;28-2-1983;40589;DĂĽsseldorf;Nordrhein-Westfalen;SK;0;SK
2009344;ErzsĂ©bet;Himmelhahn;;female;28-2-1981;96129;Strullendorf;Bayern;AT;2;AT
2000918;YoĂ«l;Flachskamm;;male;28-2-1958;24214;Gettorf;Schleswig-Holstein;SK;0;SK
2002984;Kuzey;Ahrnsen;;male;28-2-1923;54636;WiĂźmannsdorf;Rheinland-Pfalz;AT;2;AT
2002953;Emmet;Schimitschek;;male;28-2-1955;16306;Woltersdorf;Brandenburg;SK;0;SK
2004224;Marlin-Linnard;Laemmerer;;male;28-2-1947;88348;Allmannsweiler;Baden-WĂĽrttemberg;SK;0;SK
2007800;Mirza;Sonnenleiter;;male;28-2-1945;24405;RĂĽgge;Schleswig-Holstein;DE;1;DE
2009748;Maxime;Scherfel;;female;28-2-2009;98617;Neubrunn;ThĂĽringen;AT;2;AT
2006726;Zaynab;Naegeler;;female;28-2-1996;99510;Apolda;ThĂĽringen;DE;1;DE
2002415;Loona-Hayley;Clarke;;female;28-2-1989;57632;Reiferscheid;Rheinland-Pfalz;DE;1;DE
2001334;Azziz;von Tomaszewski;;male;28-2-1985;7381;Moxa;ThĂĽringen;DE;1;DE
2004595;Evy;Cuiper;;female;28-2-1980;99762;Neustadt/Harz;ThĂĽringen;AT;2;AT
2000670;Vida;GĂĽthlin;;female;28-2-1963;38170;Vahlberg;Niedersachsen;AT;2;AT
2003033;Haytham;Rademaekers;;female;28-2-2001;60320;Frankfurt am Main;Hessen;SK;0;SK
2001783;Gerd;GrĂĽnberger;;male;28-2-1995;1731;Kreischa;Sachsen;SK;0;SK
2002245;Ukab;Pelzers;;male;28-2-1982;10587;Berlin;Berlin;AT;2;AT
2004914;Leonie-Letizia;Karakus;;female;28-2-1927;64665;Alsbach-HĂ¤hnlein;Hessen;SK;0;SK
2005961;Gawriil;Kowalenko;;male;28-2-1921;24598;HeidmĂĽhlen;Schleswig-Holstein;AT;2;AT
2005650;Manar;Laurentz;;female;1981-03-30;15848;Beeskow Bornow;Brandenburg;AT;2;AT
2005633;HoĂ ng-Nhi;Dollak;;female;1980-03-30;83128;Halfing;Bayern;SK;0;SK
2001665;Nidhal;Giermann;;male;1968-03-30;65187;Wiesbaden;Hessen;SK;0;SK
2008224;Yumah;JungbĂ¤ck;;female;1954-03-30;83646;Bad TĂ¶lz;Bayern;SK;0;SK
2008986;Halim;Fingerloos;;male;1941-03-30;25563;Wulfsmoor;Schleswig-Holstein;SK;0;SK
2001668;Agnia;GĂ¶ben;;female;1933-03-30;16909;Wittstock/Dosse Rossow;Brandenburg;AT;2;AT
2001684;Pem;Olschewska;;male;1928-03-30;65391;Sauerthal;Rheinland-Pfalz;DE;1;DE
2004932;Trent;Henrix;;male;2007-03-30;14715;MĂ¤rkisch Luch Garlitz;Brandenburg;AT;2;AT
2001908;Miko;Heinzel;;male;2006-03-30;6493;Dankerode;Sachsen-Anhalt;AT;2;AT
2003784;Lyudmilov;Scheuermann;;male;1975-03-30;49762;Fresenburg;Niedersachsen;DE;1;DE
2010074;Veniamin;Zellwiger;;male;1962-03-30;89281;Altenstadt;Bayern;DE;1;DE
2008728;Jaschar;Huthmacher;;male;1935-03-30;75331;Engelsbrand;Baden-WĂĽrttemberg;AT;2;AT
2006149;Leonis;Weith;;male;1927-03-30;54634;Birtlingen;Rheinland-Pfalz;SK;0;SK
2006820;Greta-Theophila;Grohskopf;;female;1920-03-30;39624;Altmersleben;Sachsen-Anhalt;AT;2;AT
2009962;Marie-Elisa;Falkenberg;;female;2009-03-30;84076;Pfeffenhausen;Bayern;SK;0;SK
2003928;Alaz;Nieclaus;;male;1964-03-30;27637;Nordholz;Niedersachsen;SK;0;SK
2009766;Madeleine;Bartuschak;;female;1958-03-30;71263;Weil der Stadt;Baden-WĂĽrttemberg;DE;1;DE
2005417;Svetlana-Milijana;GrĂ¶ndahl;;female;1930-03-30;38259;Salzgitter Lobmachtersen;Niedersachsen;AT;2;AT
2009417;Tymon;Sokolovskis;;male;1920-03-30;36277;Schenklengsfeld;Hessen;AT;2;AT
2001835;Medea;Hoffjann;;female;2004-05-30;9634;Siebenlehn;Sachsen;SK;0;SK
2007452;Giuliano-Milian;Knabe;;male;1971-05-30;54426;Naurath;Rheinland-Pfalz;SK;0;SK
2007558;Tailer;Kaczmarczyck;;male;1963-05-30;14641;Klein Behnitz;Brandenburg;AT;2;AT
2006675;Joleen;Hofschlag;;female;1947-05-30;1454;Radeberg;Sachsen;DE;1;DE
2001024;Joaquim;Schomaecker;;male;2000-05-30;86947;Weil;Bayern;DE;1;DE
2010062;Olwen;von Bergen;;female;1984-05-30;39387;Wulferstedt;Sachsen-Anhalt;DE;1;DE
2007779;Silah;Schultes;;female;1974-05-30;7646;Rattelsdorf;ThĂĽringen;AT;2;AT
2001693;Fabiola;Bechthold;;female;1961-05-30;67580;Hamm;Rheinland-Pfalz;SK;0;SK
2003359;Johannah;Simanzig;;female;1923-05-30;15926;Schlabendorf;Brandenburg;AT;2;AT
2000928;Koto;Gehrckens;;female;1920-05-30;13409;Berlin;Berlin;SK;0;SK
2002868;KĂ¤th;StĂ¶ckelmayer;;female;2008-05-30;86495;Eurasburg;Bayern;SK;0;SK
2008771;Ilvi;Polozeck;;female;1962-05-30;93413;Cham;Bayern;DE;1;DE
2009664;Loui;von Freeden;;male;2005-06-30;47495;Rheinberg;Nordrhein-Westfalen;DE;1;DE
2007832;Habibe;Hientz;;female;1975-06-30;17192;Torgelow am See;Mecklenburg-Vorpommern;SK;0;SK
2008022;Kahlan;HĂĽbbers;;male;1946-06-30;6809;Petersroda;Sachsen-Anhalt;SK;0;SK
2008110;Hartwig;Ternes;;male;1937-06-30;24376;Kappeln;Schleswig-Holstein;DE;1;DE
2000634;Erfan;von Ruepprecht;;male;1924-06-30;91242;Ottensoos;Bayern;DE;1;DE
2007729;Hyulia;Adomzent;;male;1924-06-30;72469;MeĂźstetten;Baden-WĂĽrttemberg;DE;1;DE
2005788;Larina;Sandering;;female;2000-06-30;54552;Neichen;Rheinland-Pfalz;SK;0;SK
2009107;Paz;Petrovsky;;male;1998-06-30;15898;NeiĂźemĂĽnde Wellmitz;Brandenburg;AT;2;AT
2003290;Kirsten;Kannengiser;;female;1990-06-30;6925;Purzien;Sachsen-Anhalt;SK;0;SK
2005024;Hifa;Reindlmeier;;female;1987-06-30;26345;Bockhorn Petersgroden;Niedersachsen;DE;1;DE
2005036;Zara-Eugenia;Dedenbach;;female;1979-06-30;4916;Themesgrund;Brandenburg;AT;2;AT
2006254;Malin;Minzlaff;;male;1972-06-30;38479;Tappenbeck;Niedersachsen;DE;1;DE
2002847;Satou;Rupertus;;female;1941-06-30;91595;Burgoberbach;Bayern;DE;1;DE
2007565;Riaan;Radakovits;;male;28-02-2009;98617;Leutersdorf;ThĂĽringen;DE;1;DE
2007461;Keano;Jungbaeck;;male;28-02-1998;54646;Enzen;Rheinland-Pfalz;DE;1;DE
2008502;Miroslawa;Weisbrodt;;female;28-02-1997;17179;LĂĽhburg;Mecklenburg-Vorpommern;AT;2;AT
2009098;Shallon;Dehnhardt;;female;28-02-1995;95365;Rugendorf;Bayern;AT;2;AT
2002632;Mavakala;Dierk;;female;28-02-1994;6198;Gimritz;Sachsen-Anhalt;AT;2;AT
2004279;Atarah;Wernicke;;female;28-02-1993;97209;VeitshĂ¶chheim;Bayern;AT;2;AT
2003451;Nusaiba;Driehsen;;female;28-02-1992;39606;Ballerstedt;Sachsen-Anhalt;AT;2;AT
2009701;Ayomi;Kohlhof;;male;28-02-1989;38829;Harsleben;Sachsen-Anhalt;SK;0;SK
2009297;Kezban;Kerkhoff;;female;28-02-1988;6458;Hausneindorf;Sachsen-Anhalt;SK;0;SK
2006879;Arved-Joshua;Berenstecher;;male;28-02-1987;55595;Spall;Rheinland-Pfalz;AT;2;AT
2001656;Nuenglutai;SchmĂ¤dicke;;female;28-02-1984;29479;Jameln Teichlosen;Niedersachsen;AT;2;AT
2005227;Keyan-Merdan;Weispflug;;male;28-02-1979;31559;Hohnhorst Ohndorf;Niedersachsen;AT;2;AT
2001181;Naifali;StrĂ¶bl;;male;28-02-1975;17375;Leopoldshagen;Mecklenburg-Vorpommern;AT;2;AT
2004551;Manai;Titz;;female;28-02-1975;6449;Schackenthal;Sachsen-Anhalt;SK;0;SK
2001348;RĂ©mi;Sawatzky;;male;28-02-1974;19071;Grambow;Mecklenburg-Vorpommern;DE;1;DE
2009805;Nelia;Stockburger;;female;28-02-1966;31622;Heemsen Anderten;Niedersachsen;DE;1;DE
2005531;Sang;von Brandis;;male;28-02-1961;37308;Volkerode;ThĂĽringen;SK;0;SK
2003335;Hans-Heinrich;Habich;;male;28-02-1960;35683;Dillenburg;Hessen;SK;0;SK
2006464;Mkrtich;Milkereit;;female;28-02-1959;39443;Hohenerxleben;Sachsen-Anhalt;DE;1;DE
2004325;Ul;Ahrendtz;;male;28-02-1958;6268;WeiĂźenschirmbach;Sachsen-Anhalt;SK;0;SK
2007323;Halim;Drees;;male;28-02-1956;42119;Wuppertal;Nordrhein-Westfalen;SK;0;SK
2003777;Aliena;Vischer;;female;28-02-1955;20459;Hamburg;Hamburg;DE;1;DE
2009926;Philina;Adil;;female;28-02-1954;58762;Altena;Nordrhein-Westfalen;SK;0;SK
2009219;Sanjin;Kuehnemann;;male;28-02-1949;17217;Krukow;Mecklenburg-Vorpommern;AT;2;AT
2000637;Felte;Holzmaier;;male;28-02-1947;86753;MĂ¶ttingen;Bayern;DE;1;DE
2009104;Anjeolaoluwa;Pfaffl;;female;28-02-1946;3051;Cottbus;Brandenburg;AT;2;AT
2000639;Jorma;SchellhaaĂź;;male;28-02-1944;24782;BĂĽdelsdorf;Schleswig-Holstein;AT;2;AT
2009450;Argyll;Bozkus;;male;28-02-1943;57627;Heuzert;Rheinland-Pfalz;SK;0;SK
2007926;Fufa;Sauerteich;;female;28-02-1943;16278;Frauenhagen;Brandenburg;AT;2;AT
2002296;Ongoro;Jonkers;;female;28-02-1942;99762;Buchholz;ThĂĽringen;DE;1;DE
2005429;GĂĽlizar;Hau;;female;28-02-1941;25554;Moorhusen;Schleswig-Holstein;AT;2;AT
2004031;Nyima;Hermens;;male;28-02-1939;37359;Effelder;ThĂĽringen;DE;1;DE
2001823;Ronia;Nowikoff;;female;28-02-1939;25795;Weddingstedt;Schleswig-Holstein;DE;1;DE
2008857;Dhurata;Berzing;;female;28-02-1937;29599;Weste;Niedersachsen;DE;1;DE
2003785;Kaymetev;Berkholdt;;male;28-02-1936;6712;GeuĂźnitz;Sachsen-Anhalt;DE;1;DE
2003962;Seyhan;Catalkaya;;female;28-02-1936;52477;Alsdorf;Nordrhein-Westfalen;DE;1;DE
2005578;Enes;Chrzonowski;;male;28-02-1929;71701;Schwieberdingen;Baden-WĂĽrttemberg;SK;0;SK
2001544;Joonyi;Grosschmid;;female;28-02-1924;15518;SteinhĂ¶fel JĂ¤nickendorf;Brandenburg;AT;2;AT
2008591;Samir;Warnike;;male;28-02-1924;54649;Pintesfeld;Rheinland-Pfalz;AT;2;AT
2001100;Elmir;Mentze;;male;28-02-1921;16230;Chorin;Brandenburg;SK;0;SK
2007763;Nimer;Komander;;male;2000-05-29;70597;Stuttgart Hoffeld;Baden-WĂĽrttemberg;DE;1;DE
2007247;Ă‡Äyan;Foith;;male;1960-05-29;79650;Schopfheim;Baden-WĂĽrttemberg;SK;0;SK
2004593;TĂ´n;Geissendorff;;male;1957-05-29;59320;Ennigerloh;Nordrhein-Westfalen;AT;2;AT
2003915;Benan;Nelkenstock;;male;1938-05-29;31867;Lauenau Feggendorf;Niedersachsen;AT;2;AT
2003583;Ragnar;Hlavac;;male;1935-05-29;93482;Pemfling;Bayern;DE;1;DE
2006230;Pitchaporn;Barthelmai;;female;1934-05-29;57635;Hirz-Maulsbach;Rheinland-Pfalz;DE;1;DE
2000568;Heliu;Taschenmacher;;female;1927-05-29;67731;Otterbach;Rheinland-Pfalz;AT;2;AT
2009425;Kadiatou;Ă–zcan;;female;2008-01-29;99510;Mattstedt;ThĂĽringen;AT;2;AT
2003670;Tomme;NaĂźwetter;;male;2004-01-29;20459;Hamburg;Hamburg;AT;2;AT
2002324;Sophia-Valeria;Hermanns;;female;1930-01-29;21039;BĂ¶rnsen;Schleswig-Holstein;SK;0;SK
2002164;HoĂ i;Taspinar;;female;1926-01-29;21037;Hamburg Neuengamme;Hamburg;DE;1;DE
2006501;Hector;FaĂźbaender;;male;1925-01-29;83059;Kolbermoor;Bayern;DE;1;DE
2007816;Telja;Forchheimer;;female;2007-01-29;2742;Friedersdorf;Sachsen;AT;2;AT
2004411;Casimira;KornmeĂźer;;female;1979-01-29;56414;Molsberg;Rheinland-Pfalz;DE;1;DE
2007022;Helvert;HasenĂ¶hrl;;male;1972-01-29;48301;Nottuln;Nordrhein-Westfalen;AT;2;AT
2001387;Friedensreich;Thielkes;;male;1945-01-29;71296;Heimsheim;Baden-WĂĽrttemberg;SK;0;SK
2006322;Flori;Hasebein;;male;1923-01-29;45525;Hattingen;Nordrhein-Westfalen;SK;0;SK
