CID;Meno/Priezvisko;Priezvisko;Tituly;pohlavie;Datum narodenia;Adresa;Danovy domicil;Stĺpec2;Stĺpec3
30000987;Toan;Flasskamp;;muž;31.3.1922;Unterbreizbach ,ThĂĽringen, 36414;AT;2;AT
30004557;Nivin;Liebhold;;žena;13.4.1922;VĂ¶hringen ,Bayern, 89269;SK;0;SK
30003463;Ava-Mariama;Appel;;žena;18.6.1922;GroĂź Schenkenberg ,Schleswig-Holstein, 23860;AT;2;AT
30000084;Milenov;Hartwigsen;;muž;24.6.1922;Krauthausen ,ThĂĽringen, 99819;SK;0;SK
30003409;Sarwiga;Lornsen;;žena;25.6.1922;SchĂ¶ppenstedt ,Niedersachsen, 38170;SK;0;SK
30000691;Kiá»u;PĂ¶ppe;;žena;6.7.1922;Modautal ,Hessen, 64397;AT;2;AT
30004052;Honey;Brandmeyer;;žena;22.7.1922;Haiming ,Bayern, 84533;DE;1;DE
30000136;Sota;Frisch;;muž;29.7.1922;Bous ,Saarland, 66359;AT;2;AT
30003612;Almeda;AdomĂźent;;žena;5.8.1922;Hartmannsdorf ,Sachsen, 9232;DE;1;DE
30005164;Hermine;BrĂĽckle;;žena;4.9.1922;Spelle ,Niedersachsen, 48480;SK;0;SK
30001508;Livia;Frickmeier;;žena;4.9.1922;Benningen am Neckar ,Baden-WĂĽrttemberg, 71726;AT;2;AT
30006144;Nelson;KĂĽrekci;;muž;4.11.1922;Guldental ,Rheinland-Pfalz, 55452;DE;1;DE
30009456;Joke;GĂ¶tt;;muž;15.11.1922;Obernau ,Rheinland-Pfalz, 57638;DE;1;DE
30005046;Hatim;Kleis;;muž;24.11.1922;Herbrechtingen ,Baden-WĂĽrttemberg, 89542;DE;1;DE
30004509;AurĂ¨llie;Aleksejew;;žena;25.11.1922;Krauchenwies ,Baden-WĂĽrttemberg, 72505;AT;2;AT
30001655;GĂĽrkan;ClaĂźen;;muž;5.12.1922;Stadthagen HĂ¶rkamp-Langenbruch ,Niedersachsen, 31655;AT;2;AT
30006243;Yekta;Rupperti;;muž;12.12.1922;Obertiefenbach ,Rheinland-Pfalz, 56357;AT;2;AT
30000827;Lieas;Springauf;;muž;11.1.1923;Borstel ,Schleswig-Holstein, 24616;SK;0;SK
30008105;Lelu;Thanel;;žena;2.2.1923;Wittstock/Dosse Dossow ,Brandenburg, 16909;DE;1;DE
30003410;Liesa;Wappenhans;;žena;3.2.1923;DĂ¤hre ,Sachsen-Anhalt, 29413;SK;0;SK
30008180;Zien;Schick;;muž;16.2.1923;MĂĽnster ,Nordrhein-Westfalen, 48145;DE;1;DE
30005149;Melany;WĂĽrth;;žena;24.2.1923;Egesheim ,Baden-WĂĽrttemberg, 78592;AT;2;AT
30004256;Paul;Lindenmair;;žena;17.3.1923;Wolferstedt ,Sachsen-Anhalt, 6542;DE;1;DE
30006480;Edward;Alekseew;;muž;30.3.1923;Reinhardtsgrimma ,Sachsen, 1768;SK;0;SK
30004194;Santiago;Berg;;muž;7.5.1923;Berlin ,Berlin, 13403;DE;1;DE
30002225;Karl-Leo;Borchers;;muž;25.5.1923;Dasburg ,Rheinland-Pfalz, 54689;AT;2;AT
30008107;Kelig;Fuxius;;muž;18.6.1923;Wittstock/Dosse Christdorf ,Brandenburg, 16909;AT;2;AT
30008463;Birkan;Priedat;;muž;13.7.1923;Schmiechen ,Bayern, 86511;SK;0;SK
30005780;Ă‡Ä±nar;Erdelt;;muž;17.9.1923;NĂĽrburg ,Rheinland-Pfalz, 53520;AT;2;AT
30002352;Leon-Asil;Breitmoser;;muž;3.10.1923;NienstĂ¤dt ,Niedersachsen, 31688;DE;1;DE
30003753;Julinka;Jebramzik;;žena;4.10.1923;Haynsburg ,Sachsen-Anhalt, 6712;SK;0;SK
30005807;Luca-Lionel;Worobejtschik;;muž;29.10.1923;Oberweser ,Hessen, 34399;SK;0;SK
30003525;Liv-Grete;Wlodarski;;žena;13.11.1923;Heideck ,Bayern, 91180;SK;0;SK
30006566;Joseline;Ruebsam;;žena;3.12.1923;Triglitz ,Brandenburg, 16949;AT;2;AT
30008652;Sven;Til;;muž;6.12.1923;Irrel ,Rheinland-Pfalz, 54666;SK;0;SK
30007300;Rafet;Burchart;;muž;13.12.1923;Altenbrak ,Sachsen-Anhalt, 38889;DE;1;DE
30005381;Barbare;Brinker;;žena;21.12.1923;Liebenscheid ,Rheinland-Pfalz, 56479;AT;2;AT
30003680;Maggie;Nickolson;;žena;23.12.1923;Sauzin ,Mecklenburg-Vorpommern, 17440;SK;0;SK
30002359;Janto;Budwillus;;muž;31.12.1923;Farven ,Niedersachsen, 27446;SK;0;SK
30003802;Muhaned;Matheisl;;žena;5.1.1924;Bockhorn Osterforde ,Niedersachsen, 26345;AT;2;AT
30008384;Persephone;MĂ¶ncks;;žena;8.2.1924;Arnbruck ,Bayern, 93471;AT;2;AT
30001464;Ekatherina;Speckner;;žena;10.2.1924;Taugwitz Taugwitz ,Sachsen-Anhalt, 6628;AT;2;AT
30002179;Ece-Deniz;Schlutius;;žena;10.3.1924;Havelaue ,Brandenburg, 14715;SK;0;SK
30007865;Garfield;Hanzel;;muž;13.3.1924;Neusalza-Spremberg ,Sachsen, 2742;DE;1;DE
30002425;Anslem;Matthiassen;;muž;13.3.1924;Bruchhausen-Vilsen ,Niedersachsen, 27305;DE;1;DE
30005066;Madox;Heisterbergh;;muž;15.3.1924;Braunschweig ,Niedersachsen, 38108;DE;1;DE
30006327;Thiraya;Wietstock;;žena;26.3.1924;DreilĂĽtzow ,Mecklenburg-Vorpommern, 19243;SK;0;SK
30001029;Lotte;Simanzig;;žena;1.4.1924;Wolfegg ,Baden-WĂĽrttemberg, 88364;AT;2;AT
30008709;Eazy;Schuhfleck;;muž;5.5.1924;Hannover ,Niedersachsen, 30657;SK;0;SK
30008622;Abrar;Zinkgraf;;žena;5.5.1924;Edewecht ,Niedersachsen, 26188;DE;1;DE
30005803;Amali;TĂ¤ntzler;;žena;11.5.1924;Brockel ,Niedersachsen, 27386;AT;2;AT
30002531;Zoey-Finia;Sonneberg;;žena;24.5.1924;Bonn ,Nordrhein-Westfalen, 53129;AT;2;AT
30003023;Nora;Rasor;;žena;21.6.1924;Ebermannsdorf ,Bayern, 92263;SK;0;SK
30004866;Samur;Lieben;;muž;24.7.1924;Rottleben ,ThĂĽringen, 99707;SK;0;SK
30002830;Swinda;Haydt;;žena;7.8.1924;Bremen ,Bremen, 28217;SK;0;SK
30003725;Kailun;Mooss;;muž;18.8.1924;Iserlohn ,Nordrhein-Westfalen, 58642;AT;2;AT
30000194;Mare;Szameitpreuss;;žena;23.8.1924;Schwarzholz ,Sachsen-Anhalt, 39596;AT;2;AT
30009426;Martin;Haussler;;žena;7.9.1924;Bohmstedt ,Schleswig-Holstein, 25853;SK;0;SK
30009988;Touka;Spether;;muž;10.9.1924;Lindetal ,Mecklenburg-Vorpommern, 17094;DE;1;DE
30002474;Griselda;SchoeĂźler;;žena;10.9.1924;MĂĽnchen ,Bayern, 80331;DE;1;DE
30000918;Paulson;FreimĂĽller;;muž;8.10.1924;Neuburg am Rhein ,Rheinland-Pfalz, 76776;AT;2;AT
30001318;Merete;Hopffer;;žena;26.10.1924;Guldental ,Rheinland-Pfalz, 55452;AT;2;AT
30004024;Shenol;Kloos;;muž;20.1.1925;Beeskow KrĂĽgersdorf ,Brandenburg, 15848;AT;2;AT
30001778;Nogah;Nestvogel;;žena;20.1.1925;Caminchen ,Brandenburg, 15913;DE;1;DE
30007967;Sahraa;Wetzel;;žena;8.2.1925;RoĂźdorf ,Hessen, 64380;SK;0;SK
30009530;Thorid;Grigun;;muž;17.2.1925;Korswandt ,Mecklenburg-Vorpommern, 17419;SK;0;SK
30006642;Chayenne-Kira;Hanning;;žena;22.2.1925;Linsburg ,Niedersachsen, 31636;SK;0;SK
30000834;Suey;JanaĂźek;;žena;22.2.1925;Hamburg Altona-Altstadt ,Hamburg, 22765;AT;2;AT
30005950;Cedric-Anthony;Stuhldreyer;;muž;25.2.1925;Heideblick Pitschen-Pickel ,Brandenburg, 15926;SK;0;SK
30004635;Tháşż;KlĂ¶Ăźner;;muž;11.3.1925;Klein Wesenberg ,Schleswig-Holstein, 23860;SK;0;SK
30004930;Merina;Mathesius;;žena;24.3.1925;Graben bei Neukirchen am Teisenberg ,Bayern, 83364;AT;2;AT
30009407;Anthony;Sengstack;;muž;6.4.1925;Butzbach ,Hessen, 35510;SK;0;SK
30000861;Gabriele;Leutgeb;;muž;19.6.1925;Damnatz Damnatz ,Niedersachsen, 29472;DE;1;DE
30001076;Henrich;Proebstle;;muž;21.6.1925;KĂ¶tz ,Bayern, 89359;SK;0;SK
30004911;Lavand;Friedmann;;muž;25.6.1925;Bornitz ,Sachsen-Anhalt, 6712;DE;1;DE
30009241;Lia;Thenert;;žena;27.6.1925;GroĂźwudicke ,Brandenburg, 14715;DE;1;DE
30003600;Luna-Sophie;PeterschĂĽtz;;žena;28.6.1925;Wulften ,Niedersachsen, 37199;SK;0;SK
30001597;Monir;Feichtmeir;;muž;28.7.1925;Zwinge ,ThĂĽringen, 37345;SK;0;SK
30004372;Aybala;MĂ¶buss;;žena;3.8.1925;Reesdorf ,Sachsen-Anhalt, 39291;SK;0;SK
30007589;AnaĂŻs;NĂ¶rrenberg;;žena;4.8.1925;Elsdorf ,Nordrhein-Westfalen, 50189;SK;0;SK
30001745;Aniele;Gailfuss;;žena;17.8.1925;Hettingen ,Baden-WĂĽrttemberg, 72513;DE;1;DE
30006792;Seraphina;Abele;;žena;21.8.1925;Duisburg ,Nordrhein-Westfalen, 47137;DE;1;DE
30007244;Gunnar;Gotwalt;;muž;28.8.1925;Tangstedt ,Schleswig-Holstein, 25499;AT;2;AT
30004575;Jiayao;Lammerink;;žena;30.8.1925;Bornheim ,Rheinland-Pfalz, 55237;DE;1;DE
30004446;Fridtjof;Siedelmann;;muž;11.9.1925;Benneckenstein ,Sachsen-Anhalt, 38877;SK;0;SK
30005838;Rabea;Hamann;;žena;17.9.1925;Berne ,Niedersachsen, 27804;DE;1;DE
30005070;Aneliova;PrĂ¤torius;;žena;3.10.1925;Rehborn ,Rheinland-Pfalz, 55592;SK;0;SK
30002782;Muhammad-Salah;de Haen;;muž;20.11.1925;Appenweier ,Baden-WĂĽrttemberg, 77767;SK;0;SK
30002813;Rehan;Sadofsky;;muž;22.11.1925;KĂ¶ln ,Nordrhein-Westfalen, 51149;DE;1;DE
30005195;Toke;Schaffartzik;;muž;14.12.1925;Poley ,Sachsen-Anhalt, 6408;DE;1;DE
30007830;Ginan;Hammermann;;žena;16.12.1925;Sternberg ,Mecklenburg-Vorpommern, 19406;DE;1;DE
30009227;Hedwig;BartholomĂ¤y;;žena;3.1.1926;Stiege ,Sachsen-Anhalt, 38899;SK;0;SK
30003995;Suriya;Lindlmaier;;muž;12.1.1926;Wald ,Bayern, 87616;AT;2;AT
30008201;Maiki;Nielsen;;muž;19.1.1926;Garz ,Sachsen-Anhalt, 39524;AT;2;AT
30000777;Anthy;Stanait;;žena;16.3.1926;Lingen ,Niedersachsen, 49808;AT;2;AT
30007012;Louane;Deeken;;žena;3.4.1926;Walterschen ,Rheinland-Pfalz, 57632;AT;2;AT
30000374;Fabian-Luca;Nowicki;;muž;17.5.1926;Agethorst ,Schleswig-Holstein, 25560;AT;2;AT
30000372;Ivanna;Thuerke;;žena;26.5.1926;Haigerloch ,Baden-WĂĽrttemberg, 72401;SK;0;SK
30004298;Ludmilla;Schwegerle;;žena;30.6.1926;Bralitz ,Brandenburg, 16259;AT;2;AT
30005241;Keke;von Arnold;;muž;3.8.1926;HĂ¶heischweiler ,Rheinland-Pfalz, 66989;AT;2;AT
30006285;Hongyi;Nemecek;;muž;17.8.1926;Hamburg EimsbĂĽttel ,Hamburg, 20255;DE;1;DE
30006416;Genco;Borowski;;muž;28.8.1926;Lottstetten ,Baden-WĂĽrttemberg, 79807;SK;0;SK
30004450;Reddy;Stieneke;;muž;28.9.1926;Alt Duvenstedt ,Schleswig-Holstein, 24791;DE;1;DE
30000036;Messiah;Maerckel;;muž;13.10.1926;Voerde ,Nordrhein-Westfalen, 46562;DE;1;DE
30009330;Ladu;Melas;;muž;19.10.1926;Filsum ,Niedersachsen, 26849;SK;0;SK
30004157;Lehja;BeyazgĂĽl;;žena;26.10.1926;Ziethen ,Schleswig-Holstein, 23911;SK;0;SK
30007874;Njoki;Brunhuber;;žena;27.10.1926;Parsdorf ,Bayern, 85599;SK;0;SK
30007675;Youssouf;Kleibrink;;muž;25.11.1926;Hammoor ,Schleswig-Holstein, 22929;DE;1;DE
30004559;MiraĂ§;Hillebrecht;;muž;1.12.1926;Offenheim ,Rheinland-Pfalz, 55234;AT;2;AT
30008745;Lamarana;Volckmann;;žena;9.12.1926;Dornstedt ,Sachsen-Anhalt, 6179;AT;2;AT
30001014;Joseka;Kleinmeyer;;žena;18.12.1926;Zinzow ,Mecklenburg-Vorpommern, 17392;SK;0;SK
30003800;Gaisie;Altinisik;;muž;13.2.1927;Daun ,Rheinland-Pfalz, 54550;SK;0;SK
30001412;Madrisa;Glatz;;žena;16.3.1927;KĂ¶ln ,Nordrhein-Westfalen, 50678;DE;1;DE
30008166;Mytrinh;Aeberhard;;žena;21.4.1927;KrĂ¶slin ,Mecklenburg-Vorpommern, 17440;SK;0;SK
30004366;Elisa-Julie;BartholmĂ¤;;žena;9.5.1927;Dunningen ,Baden-WĂĽrttemberg, 78655;SK;0;SK
30000883;Toni;Reidegeld;;muž;12.5.1927;Hohenstein Oberstetten ,Baden-WĂĽrttemberg, 72531;SK;0;SK
30003759;Lorenzo;Stockel;;muž;13.5.1927;KĂĽmbdchen ,Rheinland-Pfalz, 55471;AT;2;AT
30004016;Leontina;Gerhardt;;žena;11.6.1927;GrĂ¶de ,Schleswig-Holstein, 25869;DE;1;DE
30003870;Clark;Gschrei;;muž;22.7.1927;Salzgitter Bad ,Niedersachsen, 38259;DE;1;DE
30006992;Mosa;Fessenbecker;;muž;10.8.1927;GĂ¶da ,Sachsen, 2633;AT;2;AT
30008578;Pia-Jolie;Lambke;;žena;21.8.1927;Baiersbronn ,Baden-WĂĽrttemberg, 72270;DE;1;DE
30009144;MĂĽmin;Holtzmeyer;;muž;12.10.1927;Basberg ,Rheinland-Pfalz, 54578;DE;1;DE
30001255;Shia;HopfenmĂĽller;;muž;22.10.1927;Nebel ,Schleswig-Holstein, 25946;AT;2;AT
30001475;Bombastus;Menhard;;muž;6.11.1927;Welzow ,Brandenburg, 3119;AT;2;AT
30007840;Kio;Helmdach;;muž;8.1.1928;Bensdorf ,Brandenburg, 14789;AT;2;AT
30000351;Huba;Podzum;;muž;27.1.1928;Emeringen ,Baden-WĂĽrttemberg, 88499;DE;1;DE
30003119;Mohamed-Ali;BrĂĽcklmayer;;muž;3.2.1928;Trappenkamp ,Schleswig-Holstein, 24610;DE;1;DE
30002923;Eike;von der Linde;;muž;22.2.1928;Nenndorf ,Niedersachsen, 26556;AT;2;AT
30005990;Rejana;Heinekind;;žena;17.3.1928;Ilsenburg ,Sachsen-Anhalt, 38871;AT;2;AT
30004106;Sissi;SchniedertĂ¶ns;;žena;15.4.1928;Bocka ,ThĂĽringen, 7557;DE;1;DE
30009785;Shakti;Karaaslan;;žena;18.4.1928;Hamburg Bahrenfeld ,Hamburg, 22549;AT;2;AT
30007881;Nilda;Schaerffer;;žena;26.5.1928;Wiesloch ,Baden-WĂĽrttemberg, 69168;SK;0;SK
30000232;Cevat;Adolphus;;žena;17.6.1928;LĂ¶witz ,Mecklenburg-Vorpommern, 19217;DE;1;DE
30007048;Marko;WieskĂ¤mper;;muž;31.7.1928;Hamburg Hammerbrook ,Hamburg, 20537;SK;0;SK
30000874;Jasiu;Ernstmeyer;;muž;3.8.1928;NĂ¶rtershausen ,Rheinland-Pfalz, 56283;DE;1;DE
30007817;Isidor;WeiĂźhans;;muž;10.8.1928;Rieden ,Bayern, 87668;DE;1;DE
30005056;Sumeyya-Ayet;Claeson;;žena;12.8.1928;Darscheid ,Rheinland-Pfalz, 54552;SK;0;SK
30002190;Karim;Schniederjann;;muž;15.8.1928;Hitzacker Posade ,Niedersachsen, 29456;DE;1;DE
30009985;Tonda;Fleischhans;;muž;25.9.1928;Hamburg Barmbek-SĂĽd ,Hamburg, 22081;DE;1;DE
30002413;Youssoufo;Moritz;;muž;24.10.1928;Ahnsbeck ,Niedersachsen, 29353;DE;1;DE
30008939;Ryan;Hafermehl;;muž;26.10.1928;Waldkirch ,Baden-WĂĽrttemberg, 79183;AT;2;AT
30002121;Jenessa;Canakci;;žena;12.12.1928;Paderborn ,Nordrhein-Westfalen, 33100;SK;0;SK
30001694;Enna;Karakaya;;žena;14.12.1928;Beedenbostel ,Niedersachsen, 29355;DE;1;DE
30004751;Habiebah;TrĂ¶scher;;žena;10.1.1929;Gerolzhofen ,Bayern, 97447;DE;1;DE
30005650;Nvard;Wehnert;;žena;13.1.1929;Kempen ,Nordrhein-Westfalen, 47906;SK;0;SK
30007389;Sid-Ahmed;Stoltefuhs;;muž;27.1.1929;Hamburg Stellingen ,Hamburg, 22527;DE;1;DE
30004438;Antar;Sellmeir;;muž;29.3.1929;SchĂ¶ppingen ,Nordrhein-Westfalen, 48624;DE;1;DE
30005778;Hulda;Weishar;;žena;3.4.1929;PlĂ¶tzky ,Sachsen-Anhalt, 39245;AT;2;AT
30007810;Logan-Finn;Benesova;;muž;28.4.1929;Forheim ,Bayern, 86735;DE;1;DE
30008160;Monty;Incekara;;muž;10.6.1929;Spangdahlem ,Rheinland-Pfalz, 54529;SK;0;SK
30003536;Jubayr;Kreutz;;muž;14.6.1929;Tannhausen ,Baden-WĂĽrttemberg, 73497;AT;2;AT
30005842;Demian;Kanngiesser;;muž;19.6.1929;RĂ¶thlein ,Bayern, 97520;SK;0;SK
30003761;Milea-Malou;Waniek;;žena;3.7.1929;Friedland ,Brandenburg, 15848;DE;1;DE
30005400;Klarissa;Spindeldreher;;žena;5.7.1929;PrĂĽm ,Rheinland-Pfalz, 54595;SK;0;SK
30001240;Majuma;Huster;;žena;15.7.1929;Kirchbrak ,Niedersachsen, 37619;DE;1;DE
30007804;Gamid;Bresselschmitt;;muž;22.7.1929;Weesby ,Schleswig-Holstein, 24994;SK;0;SK
30001348;Triumf;Jordan;;muž;12.8.1929;Walsleben ,Sachsen-Anhalt, 39606;SK;0;SK
30007876;Marie-Lizar;Karakullukcu;;žena;13.8.1929;Maasholm ,Schleswig-Holstein, 24404;SK;0;SK
30001661;Melija;DĂ¤nert;;žena;4.9.1929;Schmitshausen ,Rheinland-Pfalz, 66484;SK;0;SK
30009411;Taneo;Voelkerink;;muž;12.9.1929;Schkopau ,Sachsen-Anhalt, 6258;AT;2;AT
30007808;Eno;Yazgan;;muž;14.9.1929;Radis ,Sachsen-Anhalt, 6773;SK;0;SK
30003126;Zehranur;Franzas;;žena;20.9.1929;Breddin ,Brandenburg, 16845;DE;1;DE
30006246;Momo;Kulbars;;muž;29.9.1929;Tielen ,Schleswig-Holstein, 24803;AT;2;AT
30005019;Kresge;Ewalt;;žena;26.10.1929;Reichenberg ,Bayern, 97234;DE;1;DE
30000698;Lonseny;Breyer;;muž;7.11.1929;Kirkel ,Saarland, 66459;SK;0;SK
30005498;Katischa;Bierschenck;;žena;13.11.1929;Altlandsberg ,Brandenburg, 15345;SK;0;SK
30004262;Thorben-Erik;Gerharth;;muž;24.11.1929;Neuenstein ,Hessen, 36286;DE;1;DE
30005815;Dmitriyevna;BraukĂ¤mper;;žena;12.12.1929;Berge ,Sachsen-Anhalt, 39638;DE;1;DE
30007630;Zanab;Endrulis;;žena;12.2.1930;Salzgitter Gebhardshagen ,Niedersachsen, 38229;DE;1;DE
30005994;Engelina;Rothfos;;žena;26.2.1930;PlĂ¶tzkau ,Sachsen-Anhalt, 6425;AT;2;AT
30003353;Lilly;Celik;;žena;6.4.1930;HohengĂ¶hren ,Sachsen-Anhalt, 39524;AT;2;AT
30006390;Hasna;Grunewald;;žena;18.5.1930;Obernkirchen Krainhagen ,Niedersachsen, 31683;AT;2;AT
30009753;Louie;Drahtschmidt;;muž;24.5.1930;Burgkemnitz ,Sachsen-Anhalt, 6804;AT;2;AT
30001705;Maged;Abrahm;;muž;16.6.1930;TĂĽrkenfeld ,Bayern, 82299;DE;1;DE
30002562;GĂĽlziba;Zislar;;žena;24.6.1930;Krugau ,Brandenburg, 15913;SK;0;SK
30007268;Emill;Haverkemper;;muž;25.6.1930;Bruck ,Bayern, 85567;SK;0;SK
30002337;Tareq;Schmiedmayer;;muž;4.7.1930;Hausneindorf ,Sachsen-Anhalt, 6458;DE;1;DE
30000920;Ardi;Meierlein;;muž;20.7.1930;Teuschnitz ,Bayern, 96358;DE;1;DE
30005260;AurĂ¨l;von Wolfram;;muž;31.7.1930;Bad Birnbach ,Bayern, 84364;DE;1;DE
30007766;Takla;YĂĽrĂĽk;;muž;6.8.1930;FlĂ¶ha ,Sachsen, 9557;SK;0;SK
30003548;Elinja;Hoelzlein;;žena;10.8.1930;Aachen ,Nordrhein-Westfalen, 52066;SK;0;SK
30007302;Milana;Heinrichsohn;;žena;13.8.1930;Rodenberg Algesdorf ,Niedersachsen, 31552;AT;2;AT
30008754;Danusia;Wendlandt;;žena;24.8.1930;Ammerbuch ,Baden-WĂĽrttemberg, 72119;DE;1;DE
30009236;Gilbert;NĂ¶lleke;;muž;8.9.1930;Wetter (Ruhr) ,Nordrhein-Westfalen, 58300;SK;0;SK
30009069;Julien-Oscar;Nowottny;;muž;17.9.1930;Alkersleben ,ThĂĽringen, 99310;DE;1;DE
30005909;Evriklia;Petersdorff;;žena;27.9.1930;Rumbach ,Rheinland-Pfalz, 76891;DE;1;DE
30009260;Aki;Karasu;;muž;26.10.1930;Wewelsfleth ,Schleswig-Holstein, 25599;DE;1;DE
30008467;Leandro;Mebs;;muž;1.11.1930;Bielefeld ,Nordrhein-Westfalen, 33689;DE;1;DE
30006197;Rayden;Kubitzka;;muž;1.11.1930;Herbertingen ,Baden-WĂĽrttemberg, 88518;SK;0;SK
30000179;Justiniana;Krammer;;žena;1.11.1930;Stadtroda ,ThĂĽringen, 7646;AT;2;AT
30009723;Halilov;Lemmens;;muž;16.11.1930;Neuenkirchen ,Schleswig-Holstein, 25792;DE;1;DE
30004588;Sidar;Nietzold;;muž;5.12.1930;Bremen ,Bremen, 28355;SK;0;SK
