CID;Meno/Priezvisko;Priezvisko;Tituly pred;Pohlavie;Datum narodenia;PSČ;Mesto;Kraj;Danovy domicil2
60008686;Dalila;Ăśberfeld;;žena;10.05.1981;8239;Bergen;Sachsen;DE
60007363;Kazumi;Alwart;;žena;10.05.1985;25581;Poyenberg;Schleswig-Holstein;DE
60005604;Ryszard;HĂ¶pfner;;muž;10.05.1987;4808;Hohburg;Sachsen;DE
60000929;Julie;Wujczyk;;žena;10.05.1942;85254;Sulzemoos;Bayern;DE
60002777;Hildegarde;MĂĽlner;;žena;10.05.2003;63811;Stockstadt am Main;Bayern;DE
60001213;Nefeli;Bloebaum;;žena;10.05.2003;18551;Glowe;Mecklenburg-Vorpommern;DE
60004044;Daniella;Ratzlaw;;žena;10.05.1924;38489;Nettgau;Sachsen-Anhalt;DE
60002563;Kirabo;Leineweber;;žena;10.05.1928;92445;Neukirchen-Balbini;Bayern;DE
60002133;Adnan;Zwanzig;;žena;10.05.1967;70199;Stuttgart;Baden-WĂĽrttemberg;DE
60000574;Aliah;Lavorenz;;žena;10.05.1994;31867;Lauenau Feggendorf;Niedersachsen;DE
60000116;ÄĂ´ng;Minohr;;muž;10.05.2000;95126;Schwarzenbach an der Saale;Bayern;DE
60001761;Riaz;Schiktanz;;žena;10.05.2001;24582;SchĂ¶nbek;Schleswig-Holstein;DE
60009022;Novignon;Raab;;muž;10.05.2004;16945;Halenbeck-Rohlsdorf;Brandenburg;DE
60008977;Jorune;Kohlhus;;žena;10.05.2005;16303;Schwedt/Oder;Brandenburg;DE
60000246;Niklas-Jonah;Stockhorst;;muž;10.05.1922;88524;Uttenweiler;Baden-WĂĽrttemberg;DE
60001092;Saathana;Krahl;;žena;10.05.1941;22087;Hamburg Hamm-Nord;Hamburg;DE
60005809;Faissal;Wasserstradt;;muž;10.05.1954;57520;Dickendorf;Rheinland-Pfalz;DE
60002013;Yngvi;Erlenmayer;;žena;10.05.1954;1465;Dresden LangebrĂĽck;Sachsen;DE
60008444;Denni;GĂĽltekin;;muž;10.05.1964;94559;Niederwinkling;Bayern;DE
60007738;Tinko;Wingerter;;muž;10.05.1951;54597;Balesfeld;Rheinland-Pfalz;DE
60005993;Monic;Altbauer;;žena;10.05.1954;87549;Rettenberg;Bayern;DE
60009458;StĂ©phanie;SchwĂ¤bel;;žena;10.05.1995;78359;Orsingen-Nenzingen;Baden-WĂĽrttemberg;DE
60006013;Janey;Dornblut;;žena;10.05.1932;57319;Bad Berleburg Wunderthausen;Nordrhein-Westfalen;DE
60004481;Anastazija;Bondarchuk;;žena;10.05.1942;91589;Aurach;Bayern;DE
60008670;Tamim;Ditzner;;muž;10.05.1961;55288;Udenheim;Rheinland-Pfalz;DE
60003384;Elias-Fernando;Stahleisen;;muž;10.05.1968;68305;Mannheim;Baden-WĂĽrttemberg;DE
60002169;Ryszard;UnverdroĂź;;muž;10.05.1971;6502;Neinstedt;Sachsen-Anhalt;DE
60002117;MariandrĂ©e;Heinzl;;žena;10.05.1920;22529;Hamburg;Hamburg;DE
60001828;Taisya;Wisocki;;žena;10.05.1921;6686;GroĂźgĂ¶rschen;Sachsen-Anhalt;DE
60001984;Liea;Perlt;;žena;10.05.1930;54538;Bausendorf;Rheinland-Pfalz;DE
60002082;Zinar;DĂĽrrschmidt;;muž;10.05.1940;7646;Stadtroda;ThĂĽringen;DE
60007254;Darija;Steven;;žena;10.05.1969;56357;Niederbachheim;Rheinland-Pfalz;DE
60006290;Juny;GĂĽnder;;žena;10.05.1981;57319;Bad Berleburg Bad Berleburg;Nordrhein-Westfalen;DE
60008353;Nectarie;Mauser;;muž;10.05.2006;58762;Altena;Nordrhein-Westfalen;DE
60002053;Asenov;Beerenbrock;;muž;11.01.1923;6543;Hermerode;Sachsen-Anhalt;DE
60006484;Marieela;Freybott;;žena;11.01.1953;49356;Diepholz;Niedersachsen;DE
60005021;Hanneli;Arentz;;žena;11.01.1964;88422;Moosburg;Baden-WĂĽrttemberg;DE
60008543;Adnan;Lukaszczyk;;muž;11.01.1931;55469;Pleizenhausen;Rheinland-Pfalz;DE
60009687;Schana;Rieseweber;;žena;11.01.1934;67806;DĂ¶rnbach;Rheinland-Pfalz;DE
60006466;Ehi;Krautschun;;muž;11.01.1934;7356;Lobenstein;ThĂĽringen;DE
60001334;Joleen;Pillipp;;žena;11.01.1968;14641;GroĂź Behnitz;Brandenburg;DE
60001689;Kardo;Nemcek;;muž;11.01.1969;32289;RĂ¶dinghausen;Nordrhein-Westfalen;DE
60001084;Harman;Hummelbeck;;žena;11.01.2000;23919;Rondeshagen;Schleswig-Holstein;DE
60006408;Inho;Siebensohn;;muž;11.01.1938;22393;Hamburg Sasel;Hamburg;DE
60004374;Peetu;Urbaneck;;muž;11.01.1958;31636;Linsburg;Niedersachsen;DE
60004062;Fance;PfĂ¤fflin;;žena;11.01.1978;28879;Grasberg;Niedersachsen;DE
60001149;Christophorus;KlĂ¤schen;;muž;11.01.1938;56294;Kalt;Rheinland-Pfalz;DE
60003354;Augustine;Hanson;;žena;11.01.1961;45289;Essen;Nordrhein-Westfalen;DE
60009850;Hediye;Maijer;;žena;11.01.1923;6449;Giersleben;Sachsen-Anhalt;DE
60007281;Anjuli;WĂ¶lfli;;žena;11.01.1940;17213;Malchow;Mecklenburg-Vorpommern;DE
60008281;Granit;Helwig;;muž;11.01.1946;48143;MĂĽnster;Nordrhein-Westfalen;DE
60002165;Wajdi;Coster;;žena;11.01.1952;41836;HĂĽckelhoven;Nordrhein-Westfalen;DE
60005275;SĂ®on;SchnidertĂĽns;;muž;11.01.1963;16845;Zernitz-Lohm;Brandenburg;DE
60005954;Davie;Schwarzing;;muž;11.01.1985;91605;Gallmersgarten;Bayern;DE
60002773;Anir;Warning;;žena;11.01.1998;4651;Eulatal;Sachsen;DE
60000312;Sertach;Hancke;;žena;11.01.1924;1809;MĂĽglitztal;Sachsen;DE
60004636;Tineke;Kunen;;žena;11.01.1953;56357;Hainau;Rheinland-Pfalz;DE
60005711;Egor;Musilova;;muž;11.01.1980;67759;Reichsthal;Rheinland-Pfalz;DE
60003653;Maheen;Guntert;;žena;11.01.1983;16247;Joachimsthal;Brandenburg;DE
60001180;Lisa;Arenth;;žena;11.01.1996;59929;Brilon;Nordrhein-Westfalen;DE
60004060;Natalija;Brunnenmaier;;žena;11.01.2005;49504;Lotte;Nordrhein-Westfalen;DE
60001406;Joel-Fabrice;Thiele;;muž;11.01.1947;38489;Hanum;Sachsen-Anhalt;DE
60001043;Oceane;Wawschinak;;žena;11.01.1963;96169;Lauter;Bayern;DE
60003968;Arne;Appenheimer;;muž;11.01.1969;24811;Owschlag;Schleswig-Holstein;DE
60002728;Jermar;Morath;;muž;11.01.2007;29465;Schnega Schnega;Niedersachsen;DE
60009528;AiĂ©n;Stratemann;;muž;11.01.1924;84326;Rimbach;Bayern;DE
60002663;Stanislavova;GlaĂźmacher;;žena;11.01.1940;67378;Zeiskam;Rheinland-Pfalz;DE
60000030;Khoji-Boyevna;Lindenmayer;;žena;11.01.1945;17309;Rollwitz;Mecklenburg-Vorpommern;DE
60007429;Milijana;Burkart;;žena;11.01.1956;56220;Kettig;Rheinland-Pfalz;DE
60007444;KĂ¶kalp;Wiesmair;;muž;11.01.1989;56753;Trimbs;Rheinland-Pfalz;DE
60001813;Ä°hsan;Knapek;;muž;11.02.1925;22119;Hamburg;Hamburg;DE
60008339;Nisa-Ayla;Conradt;;žena;11.02.1933;80997;MĂĽnchen;Bayern;DE
60001545;ZĂĽleyha;Schaffarz;;žena;11.02.1933;89297;Roggenburg;Bayern;DE
60005267;Isadora;GĂ¶bell;;žena;11.02.1952;6536;Wickerode;Sachsen-Anhalt;DE
60007821;Ishani;Wichterich;;žena;11.02.1986;37647;Vahlbruch;Niedersachsen;DE
60005998;Anne-Marie;FrĂ¤ntz;;žena;11.02.1990;24247;Mielkendorf;Schleswig-Holstein;DE
60008515;Karine;SchĂ¶nekĂ¤se;;žena;11.02.1931;59609;AnrĂ¶chte;Nordrhein-Westfalen;DE
60009750;Lujain;KlĂ¶ssner;;žena;11.02.1935;23714;mužnte;Schleswig-Holstein;DE
60005470;Arsenije;Freymuth;;muž;11.02.1959;23795;MĂ¶zen;Schleswig-Holstein;DE
60007024;NicolĂł;Struve;;muž;11.02.1976;29490;Neu Darchau;Niedersachsen;DE
60007387;Yanko;Waeltermann;;muž;11.02.1990;3226;Raddusch;Brandenburg;DE
60005922;Arseny;BĂ¶tefuer;;muž;11.02.1993;46539;Dinslaken;Nordrhein-Westfalen;DE
60003240;Nicolaos;LandgrĂ¤fe;;muž;11.02.1923;27616;Bokel;Niedersachsen;DE
60005862;Knut;Thielcke;;muž;11.02.1951;79348;Freiamt;Baden-WĂĽrttemberg;DE
60006444;Ajman;KĂ¤telhut;;muž;11.02.1963;36266;Heringen (Werra);Hessen;DE
60008948;Lien;MorgenfrĂĽh;;žena;11.02.2003;56850;Raversbeuren;Rheinland-Pfalz;DE
60000033;Pepper;Hofacker;;žena;11.02.1922;6636;Laucha;Sachsen-Anhalt;DE
60006604;Elissio;Halfmeier;;muž;11.02.1969;31785;Hameln;Niedersachsen;DE
60001455;Anuk;Nitzke;;žena;11.02.1989;96257;Redwitz an der Rodach;Bayern;DE
60008927;Riaz;Allwardt;;žena;11.02.1925;16818;Fehrbellin Wustrau-Altfriesack;Brandenburg;DE
60008490;Siva;Reinholt;;muž;11.02.1929;41236;MĂ¶nchengladbach;Nordrhein-Westfalen;DE
60005402;Inno;Eibach;;muž;11.02.1943;54655;Malbergweich;Rheinland-Pfalz;DE
60006081;Ayoola;Willensen;;muž;11.02.1954;21395;Tespe;Niedersachsen;DE
60002691;Amadeo;Ă–zyilmaz;;muž;11.02.1964;66919;Hermersberg;Rheinland-Pfalz;DE
60005531;MaĂ«l;Ostrowskaja;;muž;11.02.1975;17440;Sauzin;Mecklenburg-Vorpommern;DE
60006966;Nathaniele;Appelbaum;;žena;11.02.1980;23570;LĂĽbeck;Schleswig-Holstein;DE
60005823;BurĂ§;Riger;;muž;11.02.1982;6308;Annarode;Sachsen-Anhalt;DE
60006997;Anthea;Zellert;;žena;11.02.1989;41363;JĂĽchen;Nordrhein-Westfalen;DE
60007333;Elyas;Leonardi;;muž;11.02.2005;39307;Brettin;Sachsen-Anhalt;DE
60006671;Silvius;Siede;;muž;11.02.1982;15848;Tauche Giesensdorf;Brandenburg;DE
60007907;Faysal;Rottenfusser;;muž;11.02.1987;37136;Seulingen;Niedersachsen;DE
60009399;SorĂˇ;Dorffer;;žena;11.02.1989;76870;Kandel;Rheinland-Pfalz;DE
60003387;Sultan;SchwĂ¤bl;;žena;11.02.1997;67729;Sippersfeld;Rheinland-Pfalz;DE
60006697;Hyuseinov;Jungeblodt;;muž;11.02.2008;1983;Neu-Seeland;Brandenburg;DE
60005794;Saadi;BahnmĂĽller;;muž;11.02.1926;39393;Barneberg;Sachsen-Anhalt;DE
60006872;IonuČ›;Tyler;;muž;11.02.1931;6901;Wartenburg;Sachsen-Anhalt;DE
60001163;Islem;Buerkle;;muž;11.02.1952;98669;Schlechtsart;ThĂĽringen;DE
60002576;Darlyn-Shirin;JanĂźens;;žena;11.02.1960;55234;Dintesheim;Rheinland-Pfalz;DE
60009366;MichaĹ‚;Xander;;muž;11.02.1964;24106;Kiel;Schleswig-Holstein;DE
60007219;Otilie;Wehrlin;;žena;11.02.1971;73275;Ohmden;Baden-WĂĽrttemberg;DE
60003155;Vanese;Baerwinkel;;žena;11.02.1980;88718;Daisendorf;Baden-WĂĽrttemberg;DE
60009437;Yan-Georg;Bachhuber;;muž;11.02.1991;85402;Kranzberg;Bayern;DE
60007822;Banen;Peterreit;;žena;11.02.2006;54340;ThĂ¶rnich;Rheinland-Pfalz;DE
60005564;Valentinova;Koperschmidt;;žena;11.02.2008;49457;Drebber;Niedersachsen;DE
60004580;Pepe;Tscheschlock;;muž;11.02.1933;25881;Tating;Schleswig-Holstein;DE
60000542;Brenda;Krifft;;žena;11.02.1976;38239;Salzgitter Thiede;Niedersachsen;DE
60002320;Ryszard;Kockhans;;muž;11.02.1988;40217;DĂĽsseldorf;Nordrhein-Westfalen;DE
60005980;Cyline;Seltenreich;;žena;11.02.1929;72124;Pliezhausen;Baden-WĂĽrttemberg;DE
60007920;Golo;Engelbertz;;muž;11.02.1934;18299;Liessow;Mecklenburg-Vorpommern;DE
60008041;Sokratis;von Keller;;muž;11.02.1959;75056;Sulzfeld;Baden-WĂĽrttemberg;DE
60000336;Farzad;Bergermann;;muž;11.02.1986;94265;Patersdorf;Bayern;DE
60005459;Mas'ouda;Michely;;žena;11.02.1994;64385;Reichelsheim;Hessen;DE
60001428;Eberhardt;Schaffarzick;;muž;11.02.2003;54595;Orlenbach;Rheinland-Pfalz;DE
60005941;Victor;Szymczyk;;muž;11.02.1934;51105;KĂ¶ln;Nordrhein-Westfalen;DE
60009116;Ameli;Folken;;žena;11.02.1939;89188;Merklingen;Baden-WĂĽrttemberg;DE
60002097;Jeremias;Philipsen;;muž;11.02.1953;24644;Krogaspe;Schleswig-Holstein;DE
60002981;Elisa-Marleen;Kasparaitis;;žena;11.02.1996;38274;Elbe;Niedersachsen;DE
60006038;Leonie-Marie;MĂĽnstermann;;žena;11.02.1998;17498;Levenhagen;Mecklenburg-Vorpommern;DE
60005991;Savinova;von Lemmermann;;žena;11.03.1982;56412;Stahlhofen;Rheinland-Pfalz;DE
60004360;Atma;Best;;muž;11.03.1988;31542;Bad Nenndorf;Niedersachsen;DE
60004483;Cosmina;Kote;;žena;11.03.1992;16775;Tornow;Brandenburg;DE
60007538;Melena;Hertlin;;žena;11.03.1948;6895;BoĂźdorf;Sachsen-Anhalt;DE
60002016;Eleanor;Mesterknecht;;žena;11.03.1948;15913;GroĂź Leine;Brandenburg;DE
60008666;Amaro;Olschofski;;muž;11.03.1951;18445;Prohn;Mecklenburg-Vorpommern;DE
60003193;Kazimir;Faist;;muž;11.03.1967;22085;Hamburg Uhlenhorst;Hamburg;DE
60008632;Filia;Hoevelberndt;;žena;11.03.1988;30900;Wedemark;Niedersachsen;DE
60004511;Eldan;MeyerjĂĽrgens;;muž;11.03.1920;94527;Aholming;Bayern;DE
60006241;Ibrahim;Stoecklin;;muž;11.03.1922;66901;SchĂ¶nenberg-KĂĽbelberg;Rheinland-Pfalz;DE
60001660;Majken;Beerenwinkel;;žena;11.03.1923;44141;Dortmund;Nordrhein-Westfalen;DE
60003188;Loureiro;Stolz;;muž;11.03.1955;25554;Nortorf;Schleswig-Holstein;DE
60008106;Saidolimkhon'ovna;Wozniak;;žena;11.03.2004;15848;Friedland Lindow;Brandenburg;DE
60003880;Donovan;TemizyĂĽrek;;muž;11.03.2004;99634;Schwerstedt;ThĂĽringen;DE
60006003;Alain;Klausner;;muž;11.03.2005;67823;Sitters;Rheinland-Pfalz;DE
60004390;Hjort;Dornstauder;;muž;11.03.1920;18356;Pruchten;Mecklenburg-Vorpommern;DE
60005033;Poupette;Burkhardt;;žena;11.03.1935;48356;Nordwalde;Nordrhein-Westfalen;DE
60004421;Jan-Georg;Nieschmidt;;muž;11.03.1950;54675;Utscheid;Rheinland-Pfalz;DE
60006263;Mar;Sewzik;;žena;11.03.1954;25554;Kleve;Schleswig-Holstein;DE
60005440;Herbart;Linnekogel;;muž;11.03.1998;17217;Puchow;Mecklenburg-Vorpommern;DE
60005963;Angeljano;Klessinger;;muž;11.03.1928;45289;Essen;Nordrhein-Westfalen;DE
60003930;Este;Balthes;;muž;11.03.1946;90419;NĂĽrnberg;Bayern;DE
60004083;Zeynepnaz;Justi;;žena;11.03.1950;1816;Bad Gottleuba-BerggieĂźhĂĽbel;Sachsen;DE
60005760;Alifa;FrĂ¤rks;;žena;11.03.1968;21357;Wittorf;Niedersachsen;DE
60003554;Karl-Heinz;Hemmerle;;muž;11.03.2009;19217;Dechow;Mecklenburg-Vorpommern;DE
60004748;Johnas;Gerstemeyer;;muž;11.03.1929;31542;Bad Nenndorf Waltringhausen;Niedersachsen;DE
60001525;Egzon;GĂ¶nnawein;;muž;11.03.1970;15848;Friedland Pieskow;Brandenburg;DE
60006139;Marie-Sophie;Suerbier;;žena;11.03.1931;47559;Kranenburg;Nordrhein-Westfalen;DE
60006527;Onella;WĂ¶rndle;;žena;11.03.1957;72285;Pfalzgrafenweiler;Baden-WĂĽrttemberg;DE
60001298;Matheus;Tessars;;muž;11.03.1964;99634;GangloffsĂ¶mmern;ThĂĽringen;DE
60000272;Ingwa;PekgĂ¶z;;muž;11.03.1974;54518;Hupperath;Rheinland-Pfalz;DE
60007498;Jolina;van Dyk;;žena;11.03.2001;30982;Pattensen;Niedersachsen;DE
60006641;Blossom;VĂ¶gle;;žena;11.03.2005;26465;Langeoog;Niedersachsen;DE
60003127;Alyson;Nimzik;;žena;11.03.1945;35390;GieĂźen;Hessen;DE
60001716;Aicha;Hansjuergens;;muž;11.03.1979;20537;Hamburg Hamm-SĂĽd;Hamburg;DE
60005384;Nicklas;Fietze;;muž;11.03.1993;6896;Straach;Sachsen-Anhalt;DE
60004309;Kecy;Gysler;;žena;11.03.1995;91475;Lonnerstadt;Bayern;DE
60002235;Kali;Szymanzig;;muž;11.03.2002;66851;Linden;Rheinland-Pfalz;DE
60009816;Roxy-Leonie;Rosenfelder;;žena;11.03.1939;77652;Offenburg;Baden-WĂĽrttemberg;DE
60007829;Kasia;FernkeĂź;;žena;11.03.1943;82293;Mittelstetten;Bayern;DE
60000322;Patrick;Wisockyte;;muž;11.03.1962;35686;Dillenburg;Hessen;DE
60008805;Shereen;Hofberger;;žena;11.03.1999;83224;Grassau;Bayern;DE
60009506;Manina;Feidt;;žena;11.03.2005;95652;Waldsassen;Bayern;DE
60007601;Philias;Stoehrer;;muž;11.03.1928;77704;Oberkirch;Baden-WĂĽrttemberg;DE
60004089;Jalik;Diederichsen;;muž;11.03.1949;77654;Offenburg;Baden-WĂĽrttemberg;DE
60003689;Muthoni;Rosenbruch;;žena;11.03.1950;9125;Chemnitz;Sachsen;DE
60002400;AnaĂŻs;Wassilenko;;žena;11.03.1962;39365;Harbke;Sachsen-Anhalt;DE
60004836;Afan;Schimanzik;;muž;11.03.1996;23845;Grabau;Schleswig-Holstein;DE
60002513;Mietz;Henn;;žena;11.04.1929;91595;Burgoberbach;Bayern;DE
60002305;Mary-Jane;Saeltzer;;žena;11.04.1933;39443;FĂ¶rderstedt;Sachsen-Anhalt;DE
60007597;Stephie;Klausner;;žena;11.04.1957;19217;Utecht;Mecklenburg-Vorpommern;DE
60002507;Sudarerdene;Kubatzsch;;muž;11.04.1959;6556;MĂ¶nchpfiffel-Nikolausrieth;ThĂĽringen;DE
60009734;Wenas;Stanislao;;žena;11.04.1974;7570;HohenĂ¶lsen;ThĂĽringen;DE
60004869;Fatimah;Haeger;;žena;11.04.2001;86845;GroĂźaitingen;Bayern;DE
60005694;AbdullmĂĽ;Oestereich;;muž;11.04.1934;22527;Hamburg Stellingen;Hamburg;DE
60004915;Alessia;Ruschitzka;;žena;11.04.1934;56379;Horhausen;Rheinland-Pfalz;DE
60000854;Efua;Bersing;;žena;11.04.1951;19217;Carlow;Mecklenburg-Vorpommern;DE
